user_id;car_id;rating
1;644;5
3;160;1
4;624;2
5;634;1
6;410;4
7;824;4
8;843;4
9;865;5
10;291;1
11;332;3
12;807;4
13;465;4
14;456;4
15;56;1
16;495;5
18;877;5
19;124;4
20;55;5
21;818;1
22;312;3
23;211;1
24;407;5
25;615;1
26;493;3
27;863;5
28;200;5
29;491;1
30;849;4
31;516;4
32;618;1
33;496;4
34;52;5
35;301;4
36;845;5
37;211;5
38;849;2
39;689;1
40;97;1
41;758;3
42;629;1
43;287;1
44;771;5
45;291;1
46;278;4
47;532;5
48;303;5
49;845;5
50;64;5
51;746;5
52;284;3
53;845;3
54;406;5
55;557;4
56;14;5
57;863;5
58;532;5
59;406;4
60;516;3
61;746;4
62;788;5
63;789;4
64;557;4
65;863;4
66;621;5
67;396;5
68;406;4
69;495;4
70;687;3
71;637;2
72;200;1
73;278;4
74;683;3
75;1;5
76;684;4
77;1;2
78;619;5
79;684;1
80;14;4
81;303;3
82;845;2
83;712;1
84;123;4
85;687;4
86;518;4
87;55;5
88;865;5
89;735;5
90;849;5
91;203;4
92;689;1
93;152;5
94;732;1
95;495;5
96;619;1
97;642;3
98;123;3
99;152;5
100;614;5
101;214;3
102;518;5
103;721;5
104;406;5
105;862;4
106;618;5
107;100;5
108;324;4
109;729;5
110;406;5
111;292;3
112;775;5
113;176;5
114;605;5
115;278;4
116;279;4
117;28;5
118;211;5
119;553;5
120;292;2
121;278;4
122;684;5
123;52;5
124;279;4
125;121;5
126;332;5
127;488;4
128;861;5
129;775;5
130;38;5
131;807;3
132;447;3
133;126;5
